R1C1,序号
R1C2,类别
R1C3,记录内容
R1C4,记录频次
R1C5,记录形式
R1C6,其他信息
R2C1,1
R2C2,基本信息
R2C3,企业名称、生产经营场所地址、行业类别、法定代表人、统一社会信用代码、产品名称、生产工艺、生产规模、环保投资、环境影响评价审批意见及排污许可证编号等。
R2C4,对于未发生变化的基本信息，1次/年，对于发生变化的基本信息，在发生变化时记录1次
R2C5,电子台账+纸质台账
R2C6,台账保存期不得少于5年
R3C1,23
R3C2,监测记录信息其他环境管理信息
R3C3,一、手工监测的记录1、采样记录：采样日期、采样时间、采样点位、混合取样的样品数量、采样器名称、采样人姓名等。2、样品保存和交接：样品保存方式、样品传输交接记录。3、样品分析记录：分析日期、样品处理方式、分析方法、质控措施、分析结果、分析人姓名等。二、自动监测运维记录包括自动监测系统运行状况、系统辅助设备运行状况、系统校准、校验工作等；仪器说明书及相关标准规范中规定的其他检查项目；校准、维护保养、维修记录等。排污单位在特殊时段应记录管理要求、执行情况（包括特殊时段生产设施运行管理信息和污染防治设施运行管理信息）。排污单位还应根据环境管理要求和排污单位自行监测内容需求，自行增补记录。
R3C4,监测数据的记录频次与自行监测章节规定的废气、废水监测频次一致。重污染天气应对期间等特殊时段的台账记录频次原则上与正常生产记录频次一致，涉及特殊时段停产的排污单位或生产工序，该期间原则上仅对起始和结束当天进行1次记录。
R3C5,电子台账+纸质台账电子台账+纸质台账
R3C6,台账保存期不得少于5年台账保存期不得少于5年
R4C1,4
R4C2,生产设施运行管理信息
R4C3,汽车制造业排污单位应定期记录生产运行状况，并留档保存，记录内容主要包括：a）生产运行状况包括生产设施、公用单元和全厂运行情况，重点记录排污许可证中相关信息的实际情况及污染物治理、排放相关的主要运行参数。正常工况各生产单元主要生产设施的累积生产时间，生产实际负荷，主要产品产量，原辅材料及燃料使用情况等数据。生产负荷指记录时间内实际产量除以同一时间内设计产能，记录时间内的设计产能按排污许可证载明的年产能及年运行时间进行折算。产品产量指各生产单元产品或半成品产量。原材料、燃料使用情况指种类、名称、用量、有毒有害元素成分及占比。b）生产设施运行管理信息应记录产品、原辅料及燃料信息。其中，生产设施信息按天记录，原辅料及燃料成分信息按批次记录。
R4C4,a)正常工况1)运行状态：按照各生产单元生产班制记录，每班记录1次。2)生产负荷：按照各生产单元生产班制记录，每班记录1次。3)产品产量：按照各生产单元生产班制记录，每班记录1次。4)原辅料：按照各生产单元生产班制记录，每班记录1次。5)燃料：每班记录1次。b)非正常工况按照异常情况期记录，1次/异常情况期。
R4C5,电子台账+纸质台账
R4C6,台账保存期不得少于5年
R5C1,5
R5C2,污染防治设施运行管理信息
R5C3,正常情况：污染防治设施运行信息应按照设施类别分别记录设施的实际运行相关参数和维护记录。1）有组织废气治理设施记录设施运行时间、运行参数等。2）无组织废气排放控制记录措施执行情况。3）废水处理设施包括预处理设施、生化处理设施、深度处理设施及回用设施四部分，分别记录每日进水水量、出水水量、药剂名称及使用量、投放频次、电耗、污泥产生量及污泥处理处置去向等。4）固体废物污染治理设施记录污泥产生量及含水率、处理方式、处理后污泥量及含水率、厂内暂存量、综合利用量、自行处置量、委托转移量、委托单位等信息。
R5C4,正常情况污染防治设施运行状况：按照污染治理设施管理单位班制记录，每班记录1次。无组织废气污染治理措施运行、维护、管理相关的信息记录频次原则上不低于1次/天。
R5C5,电子台账+纸质台账
R5C6,台账保存期不得少于5年
R6C1,6
R6C2,污染防治设施运行管理信息
R6C3,异常情况：污染治理设施异常信息按工况记录，每工况期记录1次，内容应记录起止时段设施名称、编号、非正常起始时刻、非正常恢复时刻、污染物排放量、排放浓度、事件原因、是否报告、应对措施等。
R6C4,异常情况：按照异常情况期记录，1次/异常情况期。
R6C5,电子台账+纸质台账
R6C6,台账保存期不得少于5年
R7C1,7
R7C2,污染防治设施运行管理信息
R7C3,按照《危险废物管理计划和管理台账制定技术导则》要求，记录以下内容：1、危险废物产生环节，应记录产生批次编码、产生时间、危险废物名称、危险废物类别、危险废物代码、产生量、计量单位、容器/包装编码、容器/包装类型、容器/包装数量、产生危险废物设施编码、产生部门经办人、去向等。2、危险废物入库环节，应记录入库批次编码、入库时间、容器/包装编码、容器包装类型、容器包装数量、危险废物名称、危险废物类别、危险废物代码、入库量、计量单位、贮存设施编码、贮存设施类型、运送部门经办人、贮存部门经办人、产生批次编码等。3、危险废物出库环节，应记录出库批次编码、出库时间、容器/包装编码、容器/包装类型、容器包装数量、危险废物名称、危险废物类别、危险废物代码、出库量、计量单位、贮存设施编码、贮存设施类型、出库部门经办人、运送部门经办人、入库批次编码、去向等。4、危险废物自行利用/处置环节，应记录自行利用/处置批次编码、自行利用/处置时间、容器/包装编码、容器/包装类型、容器/包装数量、危险废物名称、危险废物类别、危险废物代码、自行利用/处置量、计量单位、自行利用/处置设施编码、自行利用/处置方式、自行利用/处置完毕时间、自行利用/处置部门经办人、产生批次编码/出库批次编码等。5、危险废物委外利用/处置环节，应记录委外利用/处置批次编码、出厂时间、容器/包装编码、容器/包装类型、容器/包装数量、危险废物名称、危险废物类别、危险废物代码、委外利用/处置量、计量单位、利用/处置方式、接收单位类型、利用/处置单位名称、许可证编码/出口核准通知单编号、产生批次编码/出库批次编码等。危险废物环境管理台账记录应符合《危险废物产生单位管理计划制定指南》等标准及管理文件的相关要求。
R7C4,产生后盛放至容器和包装物的，应按每个容器和包装物进行记录；产生后采用管道等方式输送至贮存场所的，按日记录；其他特殊情形的，根据危险废物产生规律确定记录频次。
R7C5,电子台账+纸质台账
R7C6,台账保存期不得少于5年
R8C1,8
R8C2,污染防治设施运行管理信息
R8C3,1、按照《一般工业固体废物管理台账制定指南（试行）》附表1，记录固体废物的基础信息、产生环节、污染特性等。应当结合环境影响评价、排污许可等材料，根据实际生产运营情况记录固体废物产生信息，生产工艺发生重大变动等原因导致固体废物产生种类等发生变化的，应当及时另行填写附表1。2、按照《一般工业固体废物管理台账制定指南（试行）》附表2，记录固体废物的产生、贮存、利用、处置数量和利用、处置方式等信息。3、按照《一般工业固体废物管理台账制定指南（试行）》附表3，记录每一批次固体废物的出厂以及转移信息。4、鼓励排污单位按照《一般工业固体废物管理台账制定指南（试行）》附表4至附表7，记录固体废物在产废单位内部的产生、贮存、利用、处置等信息。一般工业固体废物环境管理台账记录应符合生态环境部规定的一般工业固体废物环境管理台账相关标准及管理文件要求。
R8C4,1、1次/年2、1次/月3、1次/批4、按日或按班次、批次
R8C5,电子台账+纸质台账
R8C6,台账保存期不得少于5年
R9C1,9
R9C2,污染防治设施运行管理信息
R9C3,工业噪声排污单位应建立环境管理台账，噪声污染防治设施维修和更换情况记录内容包括维修、更换时间，维修、更换内容。
R9C4,每发生一次记录1次。
R9C5,电子台账+纸质台账
R9C6,台账保存期不得少于5年
R10C1,10
R10C2,监测记录信息
R10C3,对于采用手工监测的工业噪声排污单位，应记录手工监测时段信息、噪声污染防治设施维修和更换情况。手工监测时段信息应记录监测时段内非正常工况情形、事件原因、是否报告、应对措施等；监测时段内工业噪声排放值超标情况，包括超标原因、是否报告、应对措施等。
R10C4,每发生一次记录1次。
R10C5,电子台账+纸质台账
R10C6,台账保存期不得少于5年
